declared	宣言した；明言した
withdrawal	撤退；引き下がり
secession	分離独立；脱退
organized	組織した；整えた
independent	独立した；自立した
the Confederate States of America	アメリカ連合国（南部連合）
the states	各州
set up	設立する；整える
admitted	認めた；加入を許可した
confederation	連合；連邦
elected	選出した；選ばれた
president	大統領；会長
vice-president	副大統領；副会長
preamble	前文；序文
Confederate constitution	連合国憲法
sovereign	主権を有する；独立した
character	性格；特質
right	権利；正当性
asserted	断言した；主張した
periods	時期；期間
Never before	かつて一度も〜ない
charged	非難した；責任を負わせた
factor	要因；要素
abolition	廃止；撤廃
slavery	奴隷制度；隷属状態
constitution	憲法；構成
the Confederate States	連合国（南部連合）
prevailing	支配的な；一般的な
belief	信念；考え
practicable	実行可能な；実用的な
section	節；部門
forbade	禁止した
legislation	法律；立法
impairing	損なうこと；弱めること
institution	制度；機関
prohibit	禁止する
foreign	外国の；対外の
slave	奴隷
trade	貿易；取引
largely	主として；大部分は
Union	合衆国（北部）；連合
the lower South	南部下位州（深南部）
withdrawing	脱退すること；引き下がること
modifications	修正；変更点
term	用語；期間
in addition	その上；加えて
veto separate appropriation bills	個別の歳出法案に拒否権を行使する
Congress	議会
prohibited	禁止された
from adopting	採用することから
protective tariff	保護関税
