feared	恐れていた
nation	国家；国民
slaveholding	奴隷所有の
interests	利益；利害関係
the white South	白人の南部（社会）
White Southerners	南部の白人たち
embittered	憤りで苦々しくなった
defiance	反抗；挑戦的態度
Federal Fugitive Slave Act	連邦逃亡奴隷法
alarmed	不安にさせられた；警戒した
raid	襲撃；急襲する
white abolitionist	白人の奴隷制度廃止論者
antislavery platform	反奴隷制の政綱；政策方針
Republican Party	共和党
seceded	脱退した；分離した
formed	結成した；形成した
Confederacy	（米南部）連合国；連合体
liberated	解放した
nation's slaves	その国の奴隷たち
preservation	維持；保全
abolition	廃止
the initial objective	当初の目的
gradual emancipation	段階的解放
federal	連邦の
compensating	補償すること；埋め合わせをすること
slaveholders	奴隷所有者たち
property	財産；所有物
Emancipation	解放
Proclamation	布告；宣言
residing	居住している
rebellion	反乱
against	〜に反して；〜に対して
in effect	実施中で；実質的に
lvigorously	精力的に；力強く
recruited	募兵した；採用した
the Union armed forces	北軍（合衆国軍）
strike the blow	一撃を加える；打撃を与える
performed	遂行した；実行した
heroically	英雄的に
despite	〜にもかかわらず
discrimination	差別
in pay	給与面で
rations	配給食糧；支給食
equipment	装備；用具
assignments	任務；配属
the unrelenting hostility	容赦ない敵意
the Confederate troops	南軍部隊
