forts	要塞、砦（敵の攻撃から守るために建てられた軍事的な建造物）
visible	目に見える、視認できる
exploration	探検、調査、探索
individual	個人、個体；個々の
mule	ラバ（馬とロバの交配種）；荷物を運ぶために使われる動物
survey	調査、測量；調査する
comprehensive	包括的な、総合的な、網羅的な
entire	全体の、すべての、完全な
involve	含む、関与する、伴う
passage	通路、回廊；通過、経過
protection	保護、防護
remains	遺跡、遺骨、残骸；残る
construction	建設、建造；構造
growth	成長、発育；増加
infrared	赤外線（の）
satellites	衛星、人工衛星
clues	手がかり、ヒント
soil	土壌、土
crop	作物、農作物；切り取る
density	密度、濃度
indicate	示す、指示する、指摘する
existence	存在、実在
reflection	反射、反映；熟考
presence	存在、出席；存在感
structures	構造物、建造物；構造
hollows	窪み、くぼ地；空洞
