1	ancient	意味: 古代の、太古の、非常に古い\nアクセント: ĀN-shənt\n類義語: old, antique, archaic	audio/001_ancient.mp3
2	preserve	意味: 保存する、維持する；保存食、自然保護区\nアクセント: prĭ-ZÛRV\n類義語: conserve, maintain, protect	audio/002_preserve.mp3
3	elaborate	意味: 精巧な、詳細な；詳しく説明する\nアクセント: ĭ-LĂB-ər-ĭt（形容詞）/ ĭ-LĂB-ə-rāt（動詞）\n類義語: intricate, detailed, complex	audio/003_elaborate.mp3
4	notion	意味: 概念、考え、見解\nアクセント: NŌ-shən\n類義語: idea, concept, belief	audio/004_notion.mp3
5	precautions	意味: 予防措置、用心\n基本形: precaution\nアクセント: prĭ-KÔ-shən\n類義語: safeguards, measures, provisions	audio/005_precautions.mp3
6	therefore	意味: それゆえに、したがって\nアクセント: THÂR-fôr\n類義語: thus, consequently, hence	audio/006_therefore.mp3
7	corpses	意味: 死体、遺体\n基本形: corpse\nアクセント: kôrps\n類義語: body, cadaver, remains	audio/007_corpses.mp3
8	organs	意味: 臓器、器官；オルガン\n基本形: organ\nアクセント: ÔR-gən\n類義語: body part, gland, structure	audio/008_organs.mp3
9	decayed	意味: 腐敗した、腐った、朽ちた\n基本形: decay\nアクセント: dĭ-KĀ\n類義語: rotted, decomposed, deteriorated	audio/009_decayed.mp3
10	although	意味: ～にもかかわらず、～だけれども\nアクセント: ôl-THŌ\n類義語: though, even though, whereas	audio/010_although.mp3
11	steeped	意味: 浸された、どっぷりつかった\n基本形: steep\nアクセント: stēp\n類義語: soaked, immersed, saturated	audio/011_steeped.mp3
12	preservatives	意味: 防腐剤、保存料\n基本形: preservative\nアクセント: prĭ-ZÛR-və-tĭv\n類義語: additives, conservants, stabilizers	audio/012_preservatives.mp3
13	involved	意味: 関係している、含まれている；複雑な\n基本形: involve\nアクセント: ĭn-VŎLVD\n類義語: included, concerned, engaged	audio/013_involved.mp3
14	common	意味: 一般的な、共通の、よくある\nアクセント: KŎM-ən\n類義語: ordinary, typical, widespread	audio/014_common.mp3
15	substances	意味: 物質、材料、成分\n基本形: substance\nアクセント: SŬB-stəns\n類義語: materials, compounds, matter	audio/015_substances.mp3
16	beeswax	意味: 蜜蝋（みつろう）\nアクセント: BĒZ-wăks\n類義語: wax, resin, cera	audio/016_beeswax.mp3
17	procedure	意味: 手順、処置、手続き\nアクセント: prə-SĒ-jər\n類義語: process, method, technique	audio/017_procedure.mp3
18	complicated	意味: 複雑な、難しい\n基本形: complicate\nアクセント: KŎM-plĭ-kāt-ĭd\n類義語: complex, intricate, elaborate	audio/018_complicated.mp3
19	bandages	意味: 包帯\n基本形: bandage\nアクセント: BĂN-dĭj\n類義語: dressing, wrapping, gauze	audio/019_bandages.mp3
20	smeared	意味: 塗りつけた、なすりつけた\n基本形: smear\nアクセント: smîr\n類義語: coated, spread, applied	audio/020_smeared.mp3
21	pitch	意味: タール、ピッチ（黒い粘着性物質）；音の高さ；投げる\nアクセント: pĭch\n類義語: tar, resin, asphalt	audio/021_pitch.mp3
22	for in all other lands	意味: 他のすべての土地では（強調の前置き表現）\n類義語: in all other countries, elsewhere, in other regions	audio/022_for_in_all_other_lands.mp3
23	buried	意味: 埋められた、埋葬された\n基本形: bury\nアクセント: BĔR-ēd\n類義語: interred, entombed, inhumed	audio/023_buried.mp3
24	otherwise	意味: さもなければ、別の方法で、それ以外では\nアクセント: ŬTH-ər-wīz\n類義語: alternatively, differently, else	audio/024_otherwise.mp3
25	disposed	意味: 処分された、廃棄された（disposed of）；性質の、傾向のある\n基本形: dispose\nアクセント: dĭ-SPŌZD\n類義語: discarded, eliminated, dealt with	audio/025_disposed.mp3
26	conquered	意味: 征服した、打ち負かした\n基本形: conquer\nアクセント: KŎNG-kərd\n類義語: defeated, subdued, overpowered	audio/026_conquered.mp3
27	conscious	意味: 意識のある、自覚している、気づいている\nアクセント: KŎN-shəs\n類義語: aware, awake, mindful	audio/027_conscious.mp3
28	acquired	意味: 取得した、習得した、身につけた\n基本形: acquire\nアクセント: ə-KWĪRD\n類義語: obtained, gained, attained	audio/028_acquired.mp3
29	broader	意味: より広い、より幅広い\n基本形: broad\nアクセント: brôd\n類義語: wider, more extensive, more comprehensive	audio/029_broader.mp3
30	as well as	意味: ～と同様に、～に加えて\n類義語: in addition to, along with, together with	audio/030_as_well_as.mp3
31	accidentally	意味: 偶然に、誤って、意図せずに\n基本形: accidental\nアクセント: ăk-sĭ-DĔN-tl\n類義語: unintentionally, inadvertently, by chance	audio/031_accidentally.mp3
32	under conditions	意味: ～の条件のもとで、～の状況下で\n類義語: in circumstances, given conditions, in situations	audio/032_under_conditions.mp3
33	reasonably	意味: 合理的に、かなり、相当程度\n基本形: reasonable\nアクセント: RĒ-zən-ə-bəl\n類義語: fairly, moderately, considerably	audio/033_reasonably.mp3
34	intact	意味: 損なわれていない、そのままの、無傷の\nアクセント: ĭn-TĂKT\n類義語: undamaged, whole, unharmed	audio/034_intact.mp3
35	for instance	意味: たとえば、例として\n類義語: for example, such as, namely	audio/035_for_instance.mp3
