ancient	意味: 古代の、太古の、非常に古い\nアクセント: ĀN-shənt\n類義語: old, antique, archaic
preserve	意味: 保存する、維持する；保存食、自然保護区\nアクセント: prĭ-ZÛRV\n類義語: conserve, maintain, protect
elaborate	意味: 精巧な、詳細な；詳しく説明する\nアクセント: ĭ-LĂB-ər-ĭt（形容詞）/ ĭ-LĂB-ə-rāt（動詞）\n類義語: intricate, detailed, complex
notion	意味: 概念、考え、見解\nアクセント: NŌ-shən\n類義語: idea, concept, belief
precautions	意味: 予防措置、用心\n基本形: precaution\nアクセント: prĭ-KÔ-shən\n類義語: safeguards, measures, provisions
therefore	意味: それゆえに、したがって\nアクセント: THÂR-fôr\n類義語: thus, consequently, hence
corpses	意味: 死体、遺体\n基本形: corpse\nアクセント: kôrps\n類義語: body, cadaver, remains
organs	意味: 臓器、器官；オルガン\n基本形: organ\nアクセント: ÔR-gən\n類義語: body part, gland, structure
decayed	意味: 腐敗した、腐った、朽ちた\n基本形: decay\nアクセント: dĭ-KĀ\n類義語: rotted, decomposed, deteriorated
although	意味: ～にもかかわらず、～だけれども\nアクセント: ôl-THŌ\n類義語: though, even though, whereas
steeped	意味: 浸された、どっぷりつかった\n基本形: steep\nアクセント: stēp\n類義語: soaked, immersed, saturated
preservatives	意味: 防腐剤、保存料\n基本形: preservative\nアクセント: prĭ-ZÛR-və-tĭv\n類義語: additives, conservants, stabilizers
involved	意味: 関係している、含まれている；複雑な\n基本形: involve\nアクセント: ĭn-VŎLVD\n類義語: included, concerned, engaged
common	意味: 一般的な、共通の、よくある\nアクセント: KŎM-ən\n類義語: ordinary, typical, widespread
substances	意味: 物質、材料、成分\n基本形: substance\nアクセント: SŬB-stəns\n類義語: materials, compounds, matter
beeswax	意味: 蜜蝋（みつろう）\nアクセント: BĒZ-wăks\n類義語: wax, resin, cera
procedure	意味: 手順、処置、手続き\nアクセント: prə-SĒ-jər\n類義語: process, method, technique
complicated	意味: 複雑な、難しい\n基本形: complicate\nアクセント: KŎM-plĭ-kāt-ĭd\n類義語: complex, intricate, elaborate
bandages	意味: 包帯\n基本形: bandage\nアクセント: BĂN-dĭj\n類義語: dressing, wrapping, gauze
smeared	意味: 塗りつけた、なすりつけた\n基本形: smear\nアクセント: smîr\n類義語: coated, spread, applied
pitch	意味: タール、ピッチ（黒い粘着性物質）；音の高さ；投げる\nアクセント: pĭch\n類義語: tar, resin, asphalt
for in all other lands	意味: 他のすべての土地では（強調の前置き表現）\n類義語: in all other countries, elsewhere, in other regions
buried	意味: 埋められた、埋葬された\n基本形: bury\nアクセント: BĔR-ēd\n類義語: interred, entombed, inhumed
otherwise	意味: さもなければ、別の方法で、それ以外では\nアクセント: ŬTH-ər-wīz\n類義語: alternatively, differently, else
disposed	意味: 処分された、廃棄された（disposed of）；性質の、傾向のある\n基本形: dispose\nアクセント: dĭ-SPŌZD\n類義語: discarded, eliminated, dealt with
conquered	意味: 征服した、打ち負かした\n基本形: conquer\nアクセント: KŎNG-kərd\n類義語: defeated, subdued, overpowered
conscious	意味: 意識のある、自覚している、気づいている\nアクセント: KŎN-shəs\n類義語: aware, awake, mindful
acquired	意味: 取得した、習得した、身につけた\n基本形: acquire\nアクセント: ə-KWĪRD\n類義語: obtained, gained, attained
broader	意味: より広い、より幅広い\n基本形: broad\nアクセント: brôd\n類義語: wider, more extensive, more comprehensive
as well as	意味: ～と同様に、～に加えて\n類義語: in addition to, along with, together with
accidentally	意味: 偶然に、誤って、意図せずに\n基本形: accidental\nアクセント: ăk-sĭ-DĔN-tl\n類義語: unintentionally, inadvertently, by chance
under conditions	意味: ～の条件のもとで、～の状況下で\n類義語: in circumstances, given conditions, in situations
reasonably	意味: 合理的に、かなり、相当程度\n基本形: reasonable\nアクセント: RĒ-zən-ə-bəl\n類義語: fairly, moderately, considerably
intact	意味: 損なわれていない、そのままの、無傷の\nアクセント: ĭn-TĂKT\n類義語: undamaged, whole, unharmed
for instance	意味: たとえば、例として\n類義語: for example, such as, namely
