criminologists	意味: 犯罪学者\n基本形: criminologist\nアクセント: krĭm-ĭ-NŎL-ə-jĭsts\n類義語: crime researchers, penologists, forensic scientists
criminal once caught and convicted	意味: 逮捕されて有罪判決を受けた犯罪者\n類義語: offender upon arrest and conviction, felon once apprehended
until well	意味: 〜するまでは；かなりの期間〜するまで\n類義語: not until, only after, before
consisted primarily	意味: 主に〜から成り立っていた\n類義語: was mainly composed of, was chiefly made up of
beatings	意味: 打擲；むち打ち；殴打\n基本形: beating\nアクセント: BĒT-ĭngz\n類義語: floggings, whippings, corporal punishment
torture	意味: 拷問；苦痛を与えること\nアクセント: TÔR-chər\n類義語: torment, cruelty, brutality
banishment	意味: 追放；国外退去\nアクセント: BĂN-ĭsh-mənt\n類義語: exile, expulsion, deportation
exile	意味: 追放；亡命；流刑\nアクセント: ĔG-zīl\n類義語: banishment, expulsion, ostracism
fines	意味: 罰金；科料\n基本形: fine\nアクセント: fīnz\n類義語: penalties, charges, monetary punishments
confiscation	意味: 没収；押収\nアクセント: kŏn-fĭ-SKĀ-shən\n類義語: seizure, appropriation, forfeiture
property	意味: 財産；所有物；不動産\nアクセント: PRŎP-ər-tē\n類義語: assets, possessions, estate
imprisonment	意味: 投獄；禁固；収監\nアクセント: ĭm-PRĬZ-ən-mənt\n類義語: incarceration, confinement, detention
lesser offenses	意味: 軽微な犯罪；軽い罪\n類義語: minor crimes, petty offenses, misdemeanors
persuaded	意味: 説得された；納得させられた\n基本形: persuade\nアクセント: pər-SWĀD-ĭd\n類義語: convinced, influenced, prevailed upon
gradually	意味: 徐々に；少しずつ\nアクセント: GRĂJ-ū-ə-lē\n類義語: slowly, progressively, incrementally
confinement	意味: 監禁；拘禁；閉じ込め\nアクセント: kən-FĪN-mənt\n類義語: detention, imprisonment, isolation
attempts	意味: 試み；努力；企て\n基本形: attempt\nアクセント: ə-TĔMPTS\n類義語: efforts, endeavors, tries
offenders	意味: 犯罪者；違反者\n基本形: offender\nアクセント: ə-FĔND-ərz\n類義語: criminals, perpetrators, wrongdoers
reformatories	意味: 感化院；少年院；矯正施設\n基本形: reformatory\nアクセント: rĭ-FÔR-mə-tôr-ēz\n類義語: juvenile detention centers, correctional facilities, reform schools
inmates	意味: 収監者；受刑者；入所者\n基本形: inmate\nアクセント: ĬN-māts\n類義語: prisoners, detainees, convicts
significant	意味: 重要な；著しい；意義のある\nアクセント: sĭg-NĬF-ĭ-kənt\n類義語: important, notable, considerable
correctional	意味: 矯正の；刑事施設の\nアクセント: kə-RĔK-shən-əl\n類義語: rehabilitative, penal, disciplinary
probation	意味: 保護観察；執行猶予\nアクセント: prō-BĀ-shən\n類義語: parole, supervised release, conditional freedom
parole	意味: 仮釈放；保護観察付き釈放\nアクセント: pə-RŌL\n類義語: early release, conditional discharge, supervised freedom
suspended	意味: 停止された；猶予された；一時停止した\n基本形: suspend\nアクセント: sə-SPĔND-ĭd\n類義語: deferred, postponed, withheld
supervision	意味: 監督；管理；指導\nアクセント: sū-pər-VĬZH-ən\n類義語: oversight, monitoring, management
requirements	意味: 要件；必要条件；義務\n基本形: requirement\nアクセント: rĭ-KWĪR-mənts\n類義語: conditions, obligations, stipulations
honest	意味: 正直な；誠実な\nアクセント: ŎN-ĭst\n類義語: truthful, sincere, trustworthy
trustworthy	意味: 信頼できる；信用に足る\nアクセント: TRŬST-wûr-thē\n類義語: reliable, dependable, credible
