1	Latitudinal variations	意味: 緯度による変動\nアクセント: LĂT-ə-tōō-dĭ-nəl vâr-ē-Ā-shənz\n類義語: latitude differences, zonal variation, north-south variation	audio/001_latitudinal_variations.mp3
2	factors	意味: 要因\n基本形: factor\nアクセント: FĂK-tərz\n類義語: elements, causes, determinants	audio/002_factors.mp3
3	sphere	意味: 球体；地球\nアクセント: sfĭr\n類義語: globe, orb, ball	audio/003_sphere.mp3
4	the sun's rays	意味: 太陽光線\nアクセント: thə sŭnz rāz\n類義語: sunlight, solar rays, solar radiation	audio/004_the_sun_s_rays.mp3
5	vertical	意味: 垂直の\nアクセント: VÛR-tĭ-kəl\n類義語: upright, perpendicular, straight up-and-down	audio/005_vertical.mp3
6	the equator to	意味: 赤道から〜へ\nアクセント: thē ē-KWĀ-tər tə\n類義語: from the equator to, equator toward, starting at the equator	audio/006_the_equator_to.mp3
7	horizontal	意味: 水平の\nアクセント: hôr-ə-ZŎN-təl\n類義語: level, flat, parallel to the ground	audio/007_horizontal.mp3
8	poles	意味: 極地；両極\n基本形: pole\nアクセント: pōlz\n類義語: polar regions, extremities, north and south poles	audio/008_poles.mp3
9	amount of radiation	意味: 放射量\nアクセント: ə-MOUNT əv rā-dē-Ā-shən\n類義語: radiation level, radiant energy amount, solar input	audio/009_amount_of_radiation.mp3
10	high latitudes	意味: 高緯度地域\n基本形: high latitude\nアクセント: hī LĂT-ə-tōōdz\n類義語: polar latitudes, far-north/south regions, upper latitudes	audio/010_high_latitudes.mp3
11	travel through	意味: 〜を通過する\nアクセント: TRĂV-əl thrōō\n類義語: pass through, move across, go through	audio/011_travel_through.mp3
12	thickness of atmosphere	意味: 大気の厚さ\nアクセント: THĬK-nĭs əv ĂT-mə-sfĭr\n類義語: atmospheric depth, air-layer thickness, atmospheric extent	audio/012_thickness_of_atmosphere.mp3
13	absorption	意味: 吸収\nアクセント: əb-ZÔRP-shən\n類義語: uptake, assimilation, intake	audio/013_absorption.mp3
14	affecting	意味: 影響を与えること\n基本形: affect\nアクセント: ə-FĔK-tĭng\n類義語: influencing, impacting, altering	audio/014_affecting.mp3
15	the duration of daylight	意味: 日照時間の長さ\nアクセント: thə dōō-RĀ-shən əv DĀ-līt\n類義語: length of daytime, daylight period, hours of sunlight	audio/015_the_duration_of_daylight.mp3
16	axis	意味: 軸；地軸\nアクセント: ĂK-sĭs\n類義語: central line, rotational axis, pivot line	audio/016_axis.mp3
17	tilted at an angle of	意味: 〜の角度で傾いた\nアクセント: TĬL-tĭd ăt ăn ĂNG-gəl əv\n類義語: inclined by, slanted at, leaned at	audio/017_tilted_at_an_angle_of.mp3
18	ecliptic	意味: 黄道\nアクセント: ĭ-KLĬP-tĭk\n類義語: sun's apparent path, ecliptic plane, solar path line	audio/018_ecliptic.mp3
19	progression	意味: 進行；進展\nアクセント: prə-GRĔSH-ən\n類義語: advance, development, sequence	audio/019_progression.mp3
20	striking	意味: 当たること；打つこと\n基本形: strike\nアクセント: STRĪ-kĭng\n類義語: hitting, impacting, contacting	audio/020_striking.mp3
21	rotation of	意味: 〜の自転；回転\nアクセント: rō-TĀ-shən əv\n類義語: spinning of, turning of, revolution of	audio/021_rotation_of.mp3
22	Conversely	意味: 逆に言えば\nアクセント: kən-VÛRS-lē\n類義語: on the contrary, inversely, in contrast	audio/022_conversely.mp3
23	the Northern Hemisphere	意味: 北半球\nアクセント: thə NÔR-thərn HĔM-ə-sfĭr\n類義語: north half of Earth, northern half, boreal hemisphere	audio/023_the_northern_hemisphere.mp3
24	eventually	意味: 最終的に；やがて\nアクセント: ĭ-VĔN-chōō-ə-lē\n類義語: ultimately, finally, in the end	audio/024_eventually.mp3
25	equator	意味: 赤道\nアクセント: ē-KWĀ-tər\n類義語: equatorial line, zero latitude, middle latitude line	audio/025_equator.mp3
26	undergo	意味: 経験する；受ける\nアクセント: ŭn-dər-GŌ\n類義語: experience, go through, be subjected to	audio/026_undergo.mp3
27	whereas	意味: 一方で；〜なのに対して\nアクセント: hwĕr-ĂZ\n類義語: while, in contrast, although	audio/027_whereas.mp3
28	intermediate	意味: 中間の\nアクセント: ĭn-tər-MĒ-dē-ĭt\n類義語: middle, moderate, transitional	audio/028_intermediate.mp3
29	subjected	意味: さらされた；受けた\n基本形: subject\nアクセント: səb-JĔK-tĭd\n類義語: exposed, submitted, made to undergo	audio/029_subjected.mp3
30	more annual radiation	意味: より多い年間放射量\nアクセント: môr ĂN-yōō-əl rā-dē-Ā-shən\n類義語: greater yearly radiation, higher annual solar input, increased yearly insolation	audio/030_more_annual_radiation.mp3
