Latitudinal variations	意味: 緯度による変動\nアクセント: LĂT-ə-tōō-dĭ-nəl vâr-ē-Ā-shənz\n類義語: latitude differences, zonal variation, north-south variation
factors	意味: 要因\n基本形: factor\nアクセント: FĂK-tərz\n類義語: elements, causes, determinants
sphere	意味: 球体；地球\nアクセント: sfĭr\n類義語: globe, orb, ball
the sun's rays	意味: 太陽光線\nアクセント: thə sŭnz rāz\n類義語: sunlight, solar rays, solar radiation
vertical	意味: 垂直の\nアクセント: VÛR-tĭ-kəl\n類義語: upright, perpendicular, straight up-and-down
the equator to	意味: 赤道から〜へ\nアクセント: thē ē-KWĀ-tər tə\n類義語: from the equator to, equator toward, starting at the equator
horizontal	意味: 水平の\nアクセント: hôr-ə-ZŎN-təl\n類義語: level, flat, parallel to the ground
poles	意味: 極地；両極\n基本形: pole\nアクセント: pōlz\n類義語: polar regions, extremities, north and south poles
amount of radiation	意味: 放射量\nアクセント: ə-MOUNT əv rā-dē-Ā-shən\n類義語: radiation level, radiant energy amount, solar input
high latitudes	意味: 高緯度地域\n基本形: high latitude\nアクセント: hī LĂT-ə-tōōdz\n類義語: polar latitudes, far-north/south regions, upper latitudes
travel through	意味: 〜を通過する\nアクセント: TRĂV-əl thrōō\n類義語: pass through, move across, go through
thickness of atmosphere	意味: 大気の厚さ\nアクセント: THĬK-nĭs əv ĂT-mə-sfĭr\n類義語: atmospheric depth, air-layer thickness, atmospheric extent
absorption	意味: 吸収\nアクセント: əb-ZÔRP-shən\n類義語: uptake, assimilation, intake
affecting	意味: 影響を与えること\n基本形: affect\nアクセント: ə-FĔK-tĭng\n類義語: influencing, impacting, altering
the duration of daylight	意味: 日照時間の長さ\nアクセント: thə dōō-RĀ-shən əv DĀ-līt\n類義語: length of daytime, daylight period, hours of sunlight
axis	意味: 軸；地軸\nアクセント: ĂK-sĭs\n類義語: central line, rotational axis, pivot line
tilted at an angle of	意味: 〜の角度で傾いた\nアクセント: TĬL-tĭd ăt ăn ĂNG-gəl əv\n類義語: inclined by, slanted at, leaned at
ecliptic	意味: 黄道\nアクセント: ĭ-KLĬP-tĭk\n類義語: sun's apparent path, ecliptic plane, solar path line
progression	意味: 進行；進展\nアクセント: prə-GRĔSH-ən\n類義語: advance, development, sequence
striking	意味: 当たること；打つこと\n基本形: strike\nアクセント: STRĪ-kĭng\n類義語: hitting, impacting, contacting
rotation of	意味: 〜の自転；回転\nアクセント: rō-TĀ-shən əv\n類義語: spinning of, turning of, revolution of
Conversely	意味: 逆に言えば\nアクセント: kən-VÛRS-lē\n類義語: on the contrary, inversely, in contrast
the Northern Hemisphere	意味: 北半球\nアクセント: thə NÔR-thərn HĔM-ə-sfĭr\n類義語: north half of Earth, northern half, boreal hemisphere
eventually	意味: 最終的に；やがて\nアクセント: ĭ-VĔN-chōō-ə-lē\n類義語: ultimately, finally, in the end
equator	意味: 赤道\nアクセント: ē-KWĀ-tər\n類義語: equatorial line, zero latitude, middle latitude line
undergo	意味: 経験する；受ける\nアクセント: ŭn-dər-GŌ\n類義語: experience, go through, be subjected to
whereas	意味: 一方で；〜なのに対して\nアクセント: hwĕr-ĂZ\n類義語: while, in contrast, although
intermediate	意味: 中間の\nアクセント: ĭn-tər-MĒ-dē-ĭt\n類義語: middle, moderate, transitional
subjected	意味: さらされた；受けた\n基本形: subject\nアクセント: səb-JĔK-tĭd\n類義語: exposed, submitted, made to undergo
more annual radiation	意味: より多い年間放射量\nアクセント: môr ĂN-yōō-əl rā-dē-Ā-shən\n類義語: greater yearly radiation, higher annual solar input, increased yearly insolation
