disturbing	意味: 懸念を生む；不安を与える\nアクセント: dĭ-STÛR-bĭng\n類義語: alarming, troubling, unsettling
unintended consequence	意味: 意図しない結果\nアクセント: ŭn-ĭn-TĔN-dĭd KŎN-sĭ-kwĕns\n類義語: unexpected outcome, side effect, unintended result
genetic engineering	意味: 遺伝子工学\nアクセント: jə-NĔT-ĭk ĕn-jə-NĬR-ĭng\n類義語: gene manipulation, biotechnology, genetic modification
laboratory-designed	意味: 実験室で設計された\nアクセント: LĂB-rə-tôr-ē dĭ-ZĪND\n類義語: lab-made, engineered, artificially developed
strain	意味: 品種；系統\nアクセント: strān\n類義語: variety, type, lineage
corn	意味: トウモロコシ\nアクセント: kôrn\n類義語: maize, grain corn, crop corn
monarch	意味: オオカバマダラ（チョウ）\nアクセント: MŎN-ərk\n類義語: monarch butterfly, Danaus plexippus, migratory butterfly
butterflies	意味: チョウ類\n基本形: butterfly\nアクセント: BŬT-ər-flīz\n類義語: lepidopterans, butterflies, winged insects
caterpillars	意味: イモムシ；幼虫\n基本形: caterpillar\nアクセント: KĂT-ər-pĭ-lərz\n類義語: larvae, grubs, wormlike larvae
milkweed	意味: トウワタ（ミルクウィード）\nアクセント: MĬLK-wēd\n類義語: Asclepias, monarch host plant, wild milkweed
dusted	意味: 粉をかけられた；薄く覆われた\n基本形: dust\nアクセント: DŬS-tĭd\n類義語: powdered, coated, sprinkled
altered	意味: 変更された；改変された\n基本形: alter\nアクセント: ÔL-tərd\n類義語: modified, changed, transformed
versus none	意味: ある場合と全くない場合の比較\nアクセント: VÛR-səs nŭn\n類義語: compared with none, against zero, in contrast to none
an endangered species	意味: 絶滅危惧種\nアクセント: ăn ĭn-DĀN-jərd SPĒ-shēz\n類義語: threatened species, at-risk species, vulnerable species
fear	意味: 恐れ；懸念\nアクセント: fĭr\n類義語: concern, anxiety, apprehension
the orange-and-black butterflies	意味: オレンジと黒のチョウ\n基本形: orange-and-black butterfly\nアクセント: thē ÔR-ĭnj-ănd-blăk BŬT-ər-flīz\n類義語: monarchs, orange-black butterflies, colored butterflies
insects	意味: 昆虫\n基本形: insect\nアクセント: ĬN-sĕkts\n類義語: bugs, arthropods, hexapods
unseen	意味: 見えない；気づかれない\nアクセント: ŭn-SĒN\n類義語: invisible, unnoticed, hidden
strain	意味: 品種；系統\nアクセント: strān\n類義語: variety, type, lineage
a natural pesticide	意味: 天然の殺虫剤\nアクセント: ə NĂCH-ər-əl PĔS-tə-sīd\n類義語: biological pesticide, natural insecticide, eco pesticide
borer	意味: 食入害虫\nアクセント: BÔR-ər\n類義語: pest larva, stem borer, boring insect
Drug	意味: 医薬品；薬剤\nアクセント: drŭg\n類義語: medicine, pharmaceutical, medication
Administration	意味: 行政機関；管理\nアクセント: ăd-mĭn-ĭ-STRĀ-shən\n類義語: authority, agency, governance
accounted for	意味: 〜を占めた；説明された\n基本形: account for\nアクセント: ə-KOUN-tĭd fôr\n類義語: made up, represented, explained
planted	意味: 植えられた\n基本形: plant\nアクセント: PLĂN-tĭd\n類義語: sown, cultivated, grown
touted by the industry	意味: 業界によって宣伝された\nアクセント: TOU-tĭd bī thē ĬN-də-strē\n類義語: promoted by companies, marketed by the industry, praised commercially
major pest	意味: 主要害虫\nアクセント: MĀ-jər pĕst\n類義語: principal pest, key agricultural pest, primary crop pest
