direct	意味: 直接の；まっすぐな\nアクセント: də-REKT, dī-REKT\n類義語: straight, immediate, explicit
restricted	意味: 制限された；限定された\n基本形: restrict\nアクセント: ri-STRIKT\n類義語: limited, confined, constrained
agencies	意味: 機関（複数）；代理店（複数）\n基本形: agency\nアクセント: Ā-jən-sē\n類義語: organizations, offices, departments
the U.S. Postal Service	意味: 米国郵便公社\nアクセント: PŌ-stəl SƏR-vəs\n類義語: mail service, postal system, post office
the Nuclear Regulatory Commission	意味: 原子力規制委員会\nアクセント: NŪ-klē-ər REG-yə-lə-ˌtôr-ē kə-MISH-ən\n類義語: regulatory body, oversight agency, commission
the Tennessee Valley Authority	意味: テネシー川流域開発公社\nアクセント: ˌte-nə-SĒ VAL-ē ə-THÔR-ə-tē\n類義語: public corporation, federal authority, utility agency
hands	意味: 手（複数）；管理・支配（複数形で）\n基本形: hand\nアクセント: HAND\n類義語: control, possession, custody
be run privately	意味: 民間で運営される\nアクセント: rən PRĪ-vət-lē\n類義語: be privately operated, be managed privately, be under private control
effort	意味: 努力；取り組み\nアクセント: EF-ərt\n類義語: attempt, endeavor, exertion
fostering	意味: 育成すること；促進すること\n基本形: foster\nアクセント: FÔS-tər\n類義語: promoting, encouraging, nurturing
enforcement	意味: 施行；執行\nアクセント: en-FÔRS-mənt\n類義語: implementation, execution, policing
antitrust laws	意味: 独占禁止法\n基本形: antitrust law\nアクセント: ˌan-tē-TRƏST LÔZ\n類義語: competition laws, anti-monopoly laws, fair-trade laws
combat collusion	意味: 談合を取り締まる\nアクセント: kəm-BAT kə-LŪ-zhən\n類義語: fight collusion, curb conspiracy, prevent price-fixing
output levels	意味: 生産水準；産出量の水準\n基本形: output level\nアクセント: OUT-poot LEV-əlz\n類義語: production levels, volume levels, supply levels
feasible	意味: 実行可能な；実現可能な\nアクセント: FĒ-zə-bəl\n類義語: practicable, workable, viable
prevent mergers	意味: 合併を阻止する\nアクセント: pri-VENT MƏR-jərz\n類義語: block mergers, stop consolidation, prohibit takeovers
signficantly	意味: 著しく；かなり\n基本形: significantly（スペル補正）\nアクセント: sig-NIF-ə-kənt-lē\n類義語: considerably, substantially, markedly
vigor	意味: 活力；勢い\nアクセント: VIG-ər\n類義語: energy, vitality, force
regulations	意味: 規制（複数）；規則（複数）\n基本形: regulation\nアクセント: ˌre-gyə-LĀ-shən\n類義語: rules, controls, restrictions
enforced	意味: 施行された；強制された\n基本形: enforce\nアクセント: en-FÔRS\n類義語: implemented, applied, imposed
perennial political debate	意味: 長年続く政治的論争\nアクセント: pə-REN-ē-əl pə-LIT-i-kəl di-BĀT\n類義語: ongoing political dispute, persistent policy debate, recurring controversy
regulation	意味: 規制；規則\nアクセント: ˌre-gyə-LĀ-shən\n類義語: rule, control, restriction
fiscal	意味: 財政の\nアクセント: FIS-kəl\n類義語: budgetary, financial, revenue-related
monetaty	意味: 金融の；通貨の\n基本形: monetary（スペル補正）\nアクセント: MON-ə-ˌter-ē\n類義語: financial, currency-based, fiscal
policy	意味: 政策；方針\nアクセント: PÔ-lə-sē\n類義語: strategy, guideline, plan
exerts	意味: 行使する；及ぼす（三人称単数）\n基本形: exert\nアクセント: ig-ZƏRT\n類義語: applies, uses, wields
considerable	意味: かなりの；相当な\nアクセント: kən-SID-ə-rə-bəl\n類義語: substantial, significant, sizable
leverage	意味: 影響力；てこ入れ\nアクセント: LĒ-vər-ij\n類義語: influence, advantage, clout
certain sectors	意味: 特定の部門\n基本形: certain sector\nアクセント: SƏR-tən SEK-tərz\n類義語: specific industries, particular fields, selected segments
notably	意味: とりわけ；特に\nアクセント: NŌ-tə-blē\n類義語: especially, particularly, markedly
aircraft	意味: 航空機\nアクセント: AIR-kraft\n類義語: airplane, plane, jet
aerospace	意味: 航空宇宙（産業）の\nアクセント: AIR-ō-ˌspās\n類義語: aviation, spaceflight, aeronautics
Proposals	意味: 提案（複数）\n基本形: proposal\nアクセント: prə-PŌ-zəl\n類義語: suggestions, plans, motions
frequent source	意味: 頻繁な原因；よくある発生源\nアクセント: FRĒ-kwənt SÔRS\n類義語: common cause, recurring source, regular origin
controversy	意味: 論争；議論\nアクセント: KON-trə-ˌvər-sē\n類義語: dispute, debate, disagreement
Fatming	意味: 農業\n基本形: farming（スペル補正）\nアクセント: FÄR-ming\n類義語: agriculture, cultivation, agribusiness
endeavors	意味: 努力（複数）；試み（複数）\n基本形: endeavor\nアクセント: en-DEV-ər\n類義語: efforts, attempts, undertakings
provision	意味: 提供；供給\nアクセント: prə-VIZH-ən\n類義語: supply, provision of, furnishing
facilities	意味: 設備（複数）；施設（複数）\n基本形: facility\nアクセント: fə-SIL-ə-tē\n類義語: amenities, infrastructure, installations
disadvantage	意味: 不利；欠点\nアクセント: ˌdis-əd-VAN-tij\n類義語: drawback, handicap, downside
commercial	意味: 商業の；営利的な\nアクセント: kə-MƏR-shəl\n類義語: business, trade, market-based
rather than	意味: 〜よりむしろ\nアクセント: RATH-ər than\n類義語: instead of, in place of, as opposed to
so-called	意味: いわゆる\nアクセント: SŌ-kôld\n類義語: purported, alleged, what is called
concern	意味: 懸念；関心；〜に関係する\nアクセント: kən-SƏRN（動詞）, KON-sərn（名詞）\n類義語: worry, issue, relate to
