1	taken up	意味: 取り上げられた；始められた；採用された\n類義語: adopted, pursued, embraced	audio/001_taken_up.mp3
2	enthusiastically	意味: 熱心に；熱狂的に\nアクセント: ĕn-thū-zē-ĂS-tĭk-lē\n類義語: eagerly, passionately, keenly	audio/002_enthusiastically.mp3
3	notable	意味: 注目すべき；著名な；重要な\nアクセント: NŌ-tə-bəl\n類義語: remarkable, significant, prominent	audio/003_notable.mp3
4	the debates	意味: 討論；議論；討議\n基本形: debate\nアクセント: dĭ-BĀTS\n類義語: arguments, discussions, deliberations	audio/004_the_debates.mp3
5	ratification of the constitution	意味: 憲法の批准；憲法の承認\nアクセント: răt-ĭ-fĭ-KĀ-shən\n類義語: approval of the constitution, endorsement of the charter, adoption of the constitution	audio/005_ratification_of_the_constitution.mp3
6	analysis	意味: 分析；解析；検討\nアクセント: ə-NĂL-ĭ-sĭs\n類義語: examination, study, investigation	audio/006_analysis.mp3
7	political institutions	意味: 政治機関；政治的制度\n類義語: government bodies, state organizations, political organizations	audio/007_political_institutions.mp3
8	significant role	意味: 重要な役割；重大な役割\n類義語: important part, key function, major contribution	audio/008_significant_role.mp3
9	the American consciousness	意味: アメリカの意識；アメリカ人の精神\n類義語: American awareness, the national psyche, American identity	audio/009_the_american_consciousness.mp3
10	the colonial era	意味: 植民地時代；植民地時代の時期\nアクセント: kə-LŌ-nē-əl\n類義語: the colonial period, the age of colonization, early American history	audio/010_the_colonial_era.mp3
11	as early as	意味: 早くも〜に；〜という早い時期に\n類義語: as far back as, already by, even in	audio/011_as_early_as.mp3
12	the term political science was coined	意味: 政治学という用語が作られた\nアクセント: kôynd\n類義語: the phrase was invented, the term was created, the label was established	audio/012_the_term_political_science_was_coined.mp3
13	ethics and politics	意味: 倫理学と政治学\nアクセント: ĔTH-ĭks\n類義語: morality and governance, moral philosophy and political theory	audio/013_ethics_and_politics.mp3
14	the first permanent professorship	意味: 最初の恒久的な教授職\nアクセント: PRŎF-ĕ-sər-shĭp\n類義語: the inaugural endowed chair, the first established professorship	audio/014_the_first_permanent_professorship.mp3
15	immigrant	意味: 移民；入国者\nアクセント: ĬM-ĭ-grənt\n類義語: emigrant, newcomer, settler	audio/015_immigrant.mp3
16	founded	意味: 設立された；創立された\n基本形: found\nアクセント: FOUND-ĭd\n類義語: established, created, started	audio/016_founded.mp3
17	faculties	意味: 学部；教員；能力\n基本形: faculty\nアクセント: FĂK-əl-tēz\n類義語: departments, professors, academic staff	audio/017_faculties.mp3
