taken up	意味: 取り上げられた；始められた；採用された\n類義語: adopted, pursued, embraced
enthusiastically	意味: 熱心に；熱狂的に\nアクセント: ĕn-thū-zē-ĂS-tĭk-lē\n類義語: eagerly, passionately, keenly
notable	意味: 注目すべき；著名な；重要な\nアクセント: NŌ-tə-bəl\n類義語: remarkable, significant, prominent
the debates	意味: 討論；議論；討議\n基本形: debate\nアクセント: dĭ-BĀTS\n類義語: arguments, discussions, deliberations
ratification of the constitution	意味: 憲法の批准；憲法の承認\nアクセント: răt-ĭ-fĭ-KĀ-shən\n類義語: approval of the constitution, endorsement of the charter, adoption of the constitution
analysis	意味: 分析；解析；検討\nアクセント: ə-NĂL-ĭ-sĭs\n類義語: examination, study, investigation
political institutions	意味: 政治機関；政治的制度\n類義語: government bodies, state organizations, political organizations
significant role	意味: 重要な役割；重大な役割\n類義語: important part, key function, major contribution
the American consciousness	意味: アメリカの意識；アメリカ人の精神\n類義語: American awareness, the national psyche, American identity
the colonial era	意味: 植民地時代；植民地時代の時期\nアクセント: kə-LŌ-nē-əl\n類義語: the colonial period, the age of colonization, early American history
as early as	意味: 早くも〜に；〜という早い時期に\n類義語: as far back as, already by, even in
the term political science was coined	意味: 政治学という用語が作られた\nアクセント: kôynd\n類義語: the phrase was invented, the term was created, the label was established
ethics and politics	意味: 倫理学と政治学\nアクセント: ĔTH-ĭks\n類義語: morality and governance, moral philosophy and political theory
the first permanent professorship	意味: 最初の恒久的な教授職\nアクセント: PRŎF-ĕ-sər-shĭp\n類義語: the inaugural endowed chair, the first established professorship
immigrant	意味: 移民；入国者\nアクセント: ĬM-ĭ-grənt\n類義語: emigrant, newcomer, settler
founded	意味: 設立された；創立された\n基本形: found\nアクセント: FOUND-ĭd\n類義語: established, created, started
faculties	意味: 学部；教員；能力\n基本形: faculty\nアクセント: FĂK-əl-tēz\n類義語: departments, professors, academic staff
