1	one learns	意味: 人が学ぶ；覚える\n類義語: one acquires, a person learns, individuals discover	audio/001_one_learns.mp3
2	recall	意味: 思い出す；想起；回収\nアクセント: rĭ-KÔL\n類義語: remember, retrieve, recollect	audio/002_recall.mp3
3	a specific piece	意味: 特定の情報；具体的な断片\n類義語: a particular item, a specific detail, a single piece	audio/003_a_specific_piece.mp3
4	essential	意味: 本質的な；不可欠な；必須の\nアクセント: ĕ-SĔN-shəl\n類義語: crucial, fundamental, necessary	audio/004_essential.mp3
5	selective	意味: 選択的な；選り好みする\nアクセント: sĭ-LĔK-tĭv\n類義語: discriminating, discerning, chosen	audio/005_selective.mp3
6	perceived	意味: 知覚された；認識された\n基本形: perceive\nアクセント: pər-SĒVD\n類義語: sensed, recognized, detected	audio/006_perceived.mp3
7	otherwise	意味: そうでなければ；別の方法で；その他の点では\nアクセント: ŬTH-ər-wīz\n類義語: if not, alternatively, in other circumstances	audio/007_otherwise.mp3
8	miscellaneous	意味: 雑多な；さまざまな；混在した\nアクセント: mĭs-ə-LĀ-nē-əs\n類義語: varied, diverse, assorted	audio/008_miscellaneous.mp3
9	unassorted	意味: 分類されていない；まとまりのない\nアクセント: ŭn-ə-SÔR-tĭd\n類義語: unsorted, unorganized, mixed	audio/009_unassorted.mp3
10	appear	意味: 現れる；見える；思われる\nアクセント: ə-PĪR\n類義語: seem, emerge, show up	audio/010_appear.mp3
11	immediate	意味: 直接の；即座の；目の前の\nアクセント: ĭ-MĒ-dē-ĭt\n類義語: instant, direct, present	audio/011_immediate.mp3
12	couple of seconds	意味: 数秒間；2〜3秒\n類義語: a few seconds, brief moment, short interval	audio/012_couple_of_seconds.mp3
13	for a sensory impression to register	意味: 感覚的な印象が記録されるまでの時間\n類義語: for a perception to be noted, for a sensation to be processed	audio/013_for_a_sensory_impression_to_register.mp3
14	matter of seconds	意味: 数秒の問題；わずか数秒で\n類義語: within seconds, in just seconds, in a very brief time	audio/014_matter_of_seconds.mp3
15	looks up a directory and makes a call	意味: 電話帳で調べて電話をかける\n類義語: finds a number and calls, searches and dials, locates and contacts	audio/015_looks_up_a_directory_and_makes_a_call.mp3
16	last	意味: 続く；持続する；最後の\nアクセント: lăst\n類義語: endure, persist, remain	audio/016_last.mp3
17	experts	意味: 専門家；熟達者\n基本形: expert\nアクセント: ĔK-spûrts\n類義語: specialists, authorities, professionals	audio/017_experts.mp3
18	disuse	意味: 不使用；廃用；使われなくなること\nアクセント: dĭs-ŪZ\n類義語: neglect, abandonment, non-use	audio/018_disuse.mp3
19	flawed	意味: 欠陥のある；不完全な\nアクセント: flôd\n類義語: imperfect, defective, faulty	audio/019_flawed.mp3
20	reinterpretation	意味: 再解釈；再解読\nアクセント: rē-ĭn-tûr-prĭ-TĀ-shən\n類義語: reanalysis, new reading, revised interpretation	audio/020_reinterpretation.mp3
21	by repetition and rehearsal	意味: 繰り返しと練習によって\n類義語: through practice and review, via repetition and drilling	audio/021_by_repetition_and_rehearsal.mp3
22	a script	意味: 台本；原稿；スクリプト\nアクセント: skrĭpt\n類義語: text, schema, narrative framework	audio/022_a_script.mp3
23	novel or vivid experiences	意味: 新しいまたは鮮明な経験；斬新で印象的な体験\nアクセント: VĬV-ĭd\n類義語: unique experiences, striking events, memorable occurrences	audio/023_novel_or_vivid_experiences.mp3
24	more readily shifted to long-term memory	意味: より簡単に長期記憶に移行した\n類義語: more easily transferred to long-term storage, more quickly consolidated in memory	audio/024_more_readily_shifted_to_long_term_memory.mp3
25	unfamiliar name	意味: 馴染みのない名前；知らない名前\n類義語: unknown name, strange name, unrecognized name	audio/025_unfamiliar_name.mp3
26	fewer facts	意味: より少ない事実；情報が少ない\n類義語: less information, fewer details, a smaller number of facts	audio/026_fewer_facts.mp3
27	absorbed	意味: 吸収された；没頭した；取り込まれた\n基本形: absorb\nアクセント: əb-ZÔRBD\n類義語: taken in, engrossed, incorporated	audio/027_absorbed.mp3
28	strategies	意味: 戦略；方策；手段\n基本形: strategy\nアクセント: STRĂT-ĭ-jēz\n類義語: methods, approaches, techniques	audio/028_strategies.mp3
29	improving	意味: 改善する；向上させる\n基本形: improve\nアクセント: ĭm-PRŪV-ĭng\n類義語: enhancing, advancing, developing	audio/029_improving.mp3
