the secular theater	意味: 世俗的な演劇；宗教に関係しない劇場\nアクセント: SĔK-yə-lər\n類義語: non-religious theater, lay theater, civil drama
either as lighthearted interludes	意味: 軽快な幕間劇として；気楽な余興として\nアクセント: ĬN-tər-lūdz\n類義語: as comic intermissions, as playful interludes, as lighthearted breaks
in serious moralities	意味: 真剣な道徳劇の中で\nアクセント: mə-RĂL-ĭ-tēz\n類義語: within moral plays, in didactic dramas, in religious morality plays
deliberate parody tolerated by the church	意味: 教会によって容認された意図的なパロディ\nアクセント: PĂR-ə-dē\n類義語: intentional mockery accepted by the church, calculated parody permitted by clergy
a safety valve to consistent piety	意味: 変わらぬ敬虔さへの安全弁；信仰の圧力を和らげるもの\nアクセント: PĪ-ĭ-tē\n類義語: a release for religious tension, an outlet for devout pressure
the annual feast of fools	意味: 年に一度の愚者の祭（中世の祝祭）\n類義語: the yearly fools' festival, the annual fool's celebration
incorporated as obscene parody of the mass	意味: ミサの猥褻なパロディとして取り込まれた\nアクセント: ĭn-KÔR-pər-āt-ĭd\n類義語: included as vulgar mockery of the liturgy, added as bawdy parody of the service
performed	意味: 上演された；演じられた；実行された\n基本形: perform\nアクセント: pər-FÔRMD\n類義語: staged, enacted, executed
numerous	意味: 多数の；たくさんの\nアクセント: NŪ-mər-əs\n類義語: many, countless, abundant
farces	意味: 笑劇；茶番劇；ファルス\n基本形: farce\nアクセント: FÄR-sĭz\n類義語: comedies, burlesques, slapstick plays
appeared	意味: 現れた；登場した；出演した\n基本形: appear\nアクセント: ə-PĪRD\n類義語: emerged, showed up, came forth
occasions	意味: 機会；行事；催し\n基本形: occasion\nアクセント: ə-KĀ-zhənz\n類義語: events, opportunities, instances
aristocratic houses	意味: 貴族の館；上流階級の邸宅\nアクセント: ăr-ĭ-stə-KRĂT-ĭk\n類義語: noble residences, lordly estates, patrician homes
municipal squares	意味: 市の広場；公共の広場\nアクセント: myū-NĬS-ĭ-pəl\n類義語: town squares, public plazas, civic spaces
employed	意味: 雇用した；使用した\n基本形: employ\nアクセント: ĕm-PLÔYD\n類義語: hired, used, engaged
musical forces	意味: 音楽的手段；楽器や歌声などの音楽要素\n類義語: musical resources, musical elements, musical personnel
choirboys	意味: 少年聖歌隊員；聖歌隊の少年\n基本形: choirboy\nアクセント: KWĪR-bôyz\n類義語: choir members, boy singers, treble singers
surviving	意味: 現存する；生き残っている\n基本形: survive\nアクセント: sər-VĪV-ĭng\n類義語: extant, remaining, preserved
suggest	意味: 示唆する；提案する；暗示する\nアクセント: sə-JĔST\n類義語: indicate, imply, recommend
choral music	意味: 合唱音楽；コーラル音楽\nアクセント: KÔR-əl\n類義語: choir music, chorus compositions, polyphonic music
incorporated	意味: 取り込まれた；組み込まれた\n基本形: incorporate\nアクセント: ĭn-KÔR-pər-āt-ĭd\n類義語: included, integrated, embedded
chanted monophonically	意味: 単音で唱えられた；単旋律で詠唱された\nアクセント: CHĂNT-ĭd mŏn-ə-FŎN-ĭk-ə-lē\n類義語: sung in unison, performed in single melody, intoned monaurally
embellish	意味: 装飾する；飾り立てる；美化する\nアクセント: ĕm-BĔL-ĭsh\n類義語: adorn, decorate, ornament
heighten	意味: 高める；強める；増加させる\nアクセント: HĪT-ən\n類義語: intensify, enhance, increase
dramatic effect	意味: 劇的効果；演劇的な効果\n類義語: theatrical impact, stage effect, performance impact
be hired	意味: 雇われる；採用される\n類義語: be employed, be engaged, be taken on
the constituent parts of the entertainment	意味: 娯楽の構成要素\nアクセント: kən-STĬCH-ū-ənt\n類義語: the elements of the entertainment, the components of the show
varied	意味: 多様な；様々な；変化に富んだ\nアクセント: VĔR-ēd\n類義語: diverse, different, various
the fact	意味: 事実；実態\n類義語: the reality, the truth, the evidence
except	意味: 〜を除いて；〜以外は\nアクセント: ĕk-SĔPT\n類義語: excluding, apart from, other than
indicate	意味: 示す；指示する；指摘する\nアクセント: ĬN-dĭ-kāt\n類義語: show, suggest, point to
theatrical	意味: 演劇の；舞台の；芝居がかった\nアクセント: thē-ĂT-rĭ-kəl\n類義語: dramatic, stage-related, performative
banquets	意味: 宴会；饗宴；祝宴\n基本形: banquet\nアクセント: BĂNG-kwĭts\n類義語: feasts, formal dinners, celebrations
feasts	意味: 祝宴；ごちそう；祭り\n基本形: feast\nアクセント: fēsts\n類義語: banquets, celebrations, festivals
no acquaintance with musical notation	意味: 楽譜の知識がない；音楽記譜法を知らない\nアクセント: ə-KWĀNT-əns\n類義語: no familiarity with sheet music, without knowledge of musical notation
pieces from their regular repertory	意味: 通常のレパートリーからの曲\nアクセント: RĔP-ər-tôr-ē\n類義語: selections from their usual repertoire, songs from their standard program
