rank	word	normalized_word	count	subjects	files	first_seen	preview_path	audio_path	meaning	basic_form	accent	synonyms
1	certain	certain	6	Biology,Medicine,SantaAI	Biology/37words.md,Biology/41words.md,Medicine/58words.md,SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0608.md	Biology/37words.md	Biology/37words_pronunciation/index.html	Biology/37words_pronunciation/audio/046_certain.mp3	ある；特定の；確かな		SÛR-tən	specific, particular, definite
2	equipment	equipment	6	AmericanHistory,Biology,Medicine,SantaAI	AmericanHistory/09words.md,Biology/38words.md,Medicine/58words.md,SantaAI/単語集/5月/知らない単語集0518.md,SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0611.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html	AmericanHistory/09words_pronunciation/audio/044_equipment.mp3	装備；用具		ĭ-KWĬP-mənt	gear, apparatus, tools
3	above	above	5	EarthScience,History,SantaAI	EarthScience/47words.md,History/07words.md,SantaAI/単語集/5月/知らない単語集0518.md,SantaAI/単語集/5月/知らない単語集0530.md,SantaAI/単語集/6月/知らない単語集0602.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html	EarthScience/47words_pronunciation/audio/034_above.mp3	上に；上方で		ə-BŬV	over, higher than, on top of
4	boundaries	boundaries	5	ComputerScience,Geology,SantaAI	ComputerScience/44words.md,Geology/54words.md,Geology/55words.md,SantaAI/単語集/5月/知らない単語集0527.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html	ComputerScience/44words_pronunciation/audio/034_boundaries.mp3	境界；限界	boundary	BOUND-ə-rēz	limits, borders, frontiers
5	confirm	confirm	5	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/5月/知らない単語集0530.md,SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/SantaAI_pronunciation/audio/005_confirm.mp3	確認する、裏付ける		kən-FERM	verify, validate, affirm
6	constitution	constitution	5	AmericanHistory,Law	AmericanHistory/08words.md,Law/18words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html	AmericanHistory/08words_pronunciation/audio/015_confederate_constitution.mp3	憲法；構成		kän-stə-TŪ-shən	charter, basic law, framework
7	cooperation	cooperation	5	BusinessAsministration&Economics,SantaAI	BusinessAsministration&Economics/11words.md,SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0607.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html	BusinessAsministration&Economics/11words_pronunciation/audio/038_cooperation.mp3	協力；共同作業		kō-äp-ə-RĀ-shən	collaboration, teamwork, partnership
8	essential	essential	5	Biology,Psychology,SantaAI	Biology/43words.md,Psychology/29words.md,SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0522.md,SantaAI/単語集/5月/知らない単語集0530.md	Biology/43words.md	Biology/43words_pronunciation/index.html	Biology/43words_pronunciation/audio/025_essential.mp3	本質的な；不可欠な		ĭ-SĔN-shəl	crucial, vital, fundamental
9	otherwise	otherwise	5	Archaeology,ArtHistory,Psychology,SantaAI	Archaeology/04/04words.md,ArtHistory/05/05words.md,Psychology/29words.md,SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/6月/知らない単語集0617.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html	Archaeology/04/04words_pronunciation/audio/024_otherwise.mp3	さもなければ、別の方法で、それ以外では		ŬTH-ər-wīz	alternatively, differently, else
10	within	within	5	Geology,Linguistics,SantaAI	Geology/53words.md,Linguistics/20words.md,SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0528.md	Geology/53words.md	Geology/53words_pronunciation/index.html	Geology/53words_pronunciation/audio/031_within.mp3	〜の内部に		wĭth-ĬN	inside, in, internally
11	absorb	absorb	4	Biology,SantaAI	Biology/42words.md,SantaAI/単語集/5月/知らない単語集0522.md,SantaAI/単語集/5月/知らない単語集0527.md,SantaAI/単語集/6月/知らない単語集0607.md	Biology/42words.md	Biology/42words_pronunciation/index.html	Biology/42words_pronunciation/audio/033_absorbing.mp3	吸収する		əb-ZÔRB	take in, assimilate, soak up
12	behavior	behavior	4	SantaAI	SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/SantaAI_pronunciation/audio/012_behavior.mp3	行動；ふるまい		bē-HĀV-yər	conduct, actions, manner
13	beneath	beneath	4	Geology,SantaAI	Geology/53words.md,Geology/54words.md,Geology/55words.md,SantaAI/単語集/5月/知らない単語集0529.md	Geology/53words.md	Geology/53words_pronunciation/index.html	Geology/53words_pronunciation/audio/008_beneath.mp3	〜の下に		bĭ-NĒTH	below, under, underneath
14	concern	concern	4	Economics,Environmentology,SantaAI	Economics/12words.md,Environmentology/13words.md,SantaAI/単語集/5月/知らない単語集0515.md,SantaAI/単語集/5月/知らない単語集0523.md	Economics/12words.md	Economics/12words_pronunciation/index.html	Economics/12words_pronunciation/audio/044_concern.mp3	懸念；関心；〜に関係する		kən-SƏRN（動詞）, KON-sərn（名詞）	worry, issue, relate to
15	discipline	discipline	4	Biology,Ethnology,History,Medicine	Biology/43words.md,Ethnology/EthnoogyandIdentity.md,History/07words.md,Medicine/58words.md	Biology/43words.md	Biology/43words_pronunciation/index.html	Biology/43words_pronunciation/audio/001_discipline.mp3	学問分野；規律		DĬS-ə-plĭn	field, branch, domain
16	distribution	distribution	4	Medicine,SantaAI	Medicine/58words.md,SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/6月/知らない単語集0604.md,SantaAI/単語集/6月/知らない単語集0611.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html	Medicine/58words_pronunciation/audio/034_distribution.mp3	分配；分布		dis-trə-BYŪ-shən	allocation, spread, apportionment
17	effort	effort	4	Biology,Economics,SantaAI	Biology/40words.md,Economics/12words.md,SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0604.md	Biology/40words.md	Biology/40words_pronunciation/index.html	Biology/40words_pronunciation/audio/001_effort.mp3	努力；試み		ĔF-ərt	attempt, endeavor, exertion
18	encourage	encourage	4	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0530.md,SantaAI/単語集/6月/知らない単語集0614.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/SantaAI_pronunciation/audio/018_encourage.mp3	励ます、促す		ĕn-KER-ĭj	motivate, support, promote
19	injury	injury	4	Medicine,SantaAI	Medicine/58words.md,SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0609.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html	Medicine/58words_pronunciation/audio/006_injury.mp3	けが；損傷		IN-jə-rē	wound, harm, trauma
20	interact	interact	4	Ethnology,SantaAI	Ethnology/EthnoogyandIdentity.md,SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0529.md,SantaAI/単語集/5月/知らない単語集0530.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/Ethnology_pronunciation/audio/020_interact.mp3	交流する、相互作用する		ìn-tər-ÄKT	communicate, engage, cooperate
21	nutrients	nutrients	4	Biology,SantaAI	Biology/42words.md,SantaAI/単語集/5月/知らない単語集0512.md,SantaAI/単語集/5月/知らない単語集0527.md,SantaAI/単語集/6月/知らない単語集0602.md	Biology/42words.md	Biology/42words_pronunciation/index.html	Biology/42words_pronunciation/audio/073_nutrients.mp3	栄養素	nutrient	NŪ-trē-ənts	nourishment, nutrients substances, food elements
22	over time	over time	4	Ethnology,SantaAI	Ethnology/EthnoogyandIdentity.md,SantaAI/単語集/5月/知らない単語集0515.md,SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/5月/知らない単語集0530.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/Ethnology_pronunciation/audio/022_over_time.mp3	時間の経過とともに、徐々に		Ō-vər tīm	gradually, in time, as time passed
23	procedure	procedure	4	Archaeology,SantaAI	Archaeology/04/04words.md,SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/6月/知らない単語集0614.md,SantaAI/単語集/6月/知らない単語集0616.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html	Archaeology/04/04words_pronunciation/audio/017_procedure.mp3	手順、処置、手続き		prə-SĒ-jər	process, method, technique
24	refers	refers	4	ComputerScience,Environmentology,SantaAI	ComputerScience/44words.md,Environmentology/13words.md,SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0523.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html	ComputerScience/44words_pronunciation/audio/003_refers.mp3	言及する；指す	refer	rĭ-FÛR	denotes, points to, indicates
25	represent	represent	4	Film,SantaAI	Film/ToolsofFilmmaking.md,SantaAI/単語集/6月/知らない単語集0601.md,SantaAI/単語集/6月/知らない単語集0603.md,SantaAI/単語集/6月/知らない単語集0608.md	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md	Film/Film_pronunciation/audio/025_represent.mp3	表す、描写する；代表する		rĕp-rĭ-ZĔNT	depict, show, portray
26	significant	significant	4	Crimiinology,SantaAI	Crimiinology/19words.md,SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/5月/知らない単語集0527.md,SantaAI/単語集/5月/知らない単語集0528.md	Crimiinology/19words.md	Crimiinology/19words_pronunciation/index.html	Crimiinology/19words_pronunciation/audio/021_significant.mp3	重要な；著しい；意義のある		sĭg-NĬF-ĭ-kənt	important, notable, considerable
